S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
408,27.0,Maharashtra,482.0,Mumbai,,,
409,27.0,Maharashtra,483.0,Mumbai Suburban,446,9356962,23271
410,27.0,Maharashtra,484.0,Nagpur,9892,4653570,409.36
411,27.0,Maharashtra,485.0,Nanded,10528,3361292,275.98
412,27.0,Maharashtra,486.0,Nandurbar,5955,1648295,260
413,27.0,Maharashtra,487.0,Nashik,15582,6107187,321.56
414,27.0,Maharashtra,665.0,Palghar,5344,2990116,562
415,27.0,Maharashtra,489.0,Parbhani,6251,1836086,244.4
416,27.0,Maharashtra,490.0,Pune,15643,9429408,461.85
417,27.0,Maharashtra,491.0,Raigad,7152,2634200,308.89
418,27.0,Maharashtra,492.0,Ratnagiri,8208,1615069,206.72
419,27.0,Maharashtra,493.0,Sangli,8578,2822143,301.18
420,27.0,Maharashtra,494.0,Satara,10480,3003741,266.77
421,27.0,Maharashtra,495.0,Sindhudurg,5207,849651,166.86
422,27.0,Maharashtra,496.0,Solapur,14895,4317756,259.32
423,27.0,Maharashtra,497.0,Thane,4214,8070032,850.71
424,27.0,Maharashtra,498.0,Wardha,6310,1300774,195.03
