S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
450,17,Meghalaya,663,South West Garo Hills,822,172495,
451,17,Meghalaya,658,South West Khasi Hills,1341,110152,
452,17,Meghalaya,278,West Garo Hills,2855,472497,
453,17,Meghalaya,275,West Jaintia Hills,1693,270352,
454,17,Meghalaya,279,West Khasi Hills,3890,252010,
455,15,Mizoram,261,Aizawl,3577,400309,110
456,15,Mizoram,262,Champhai,3168,125745,39
457,15,Mizoram,726,Hnahthial,1030,28468,27
458,15,Mizoram,728,Khawzawl,1152,42355,36
459,15,Mizoram,263,Kolasib,1386,83955,61
460,15,Mizoram,264,Lawngtlai,2519,117894,46
461,15,Mizoram,265,Lunglei,4572,161428,36
462,15,Mizoram,266,Mamit,2967,86364,29
463,15,Mizoram,727,Saitual,,63685,
464,15,Mizoram,268,Serchhip,1424,64937,46
465,15,Mizoram,267,Siaha,,,
466,13,Nagaland,758,Chumoukedima,,,
467,13,Nagaland,244,Dimapur,70,170000,
468,13,Nagaland,614,Kiphire,1130,74004,
469,13,Nagaland,245,Kohima,1207,267988,
470,13,Nagaland,615,Longleng,885,50484,
471,13,Nagaland,246,Mokokchung,1719,194622,
472,13,Nagaland,247,Mon,1786,250260,
473,13,Nagaland,764,Niuland,,11876,
474,13,Nagaland,736,Noklak,1152,59300,
475,13,Nagaland,613,Peren,2300,95219,
476,13,Nagaland,248,Phek,2026,163418,
477,13,Nagaland,765,Shamator,,12726,
478,13,Nagaland,757,Tseminyu,,,
479,13,Nagaland,249,Tuensang,2536,137296,
480,13,Nagaland,250,Wokha,1628,166343,
481,13,Nagaland,251,Zunheboto,,,
482,21,Odisha,344,Anugul,,,
483,21,Odisha,345,Balangir,6575,1648997,251
484,21,Odisha,346,Baleshwar,,,
485,21,Odisha,347,Bargarh,5837,1481255,254
486,21,Odisha,348,Bhadrak,2505,1506337,601
487,21,Odisha,349,Boudh,3444.8,441162,128
488,21,Odisha,350,Cuttack,3932,2624470,667
